Segment_ID,Mode,Text,Word_Count
244,auto,'dab bzhi la// gnyid 'gugs sngags kyis 'gugs par byed// oM A nu d+ha ra hU~M phaT swA hA/ gnyid du song ba shi,24
245,allo,dang,1
246,auto,mtshungs// rmi,2
247,allo,lam srid par bar ma,5
248,auto,do//,1
249,allo,gnyid sad skye ba,4
250,auto,lha,1
251,allo,yi,1
252,auto,sku// rnal 'byor can gyis bsgom par bya// sems ni gnyid la zin gyur na// brag la 'dzegs dang g.yang la skyur// chu la mchongs dang rbab la 'gril// rnal 'byor rig pa'i rtsal byang ste// chos rnams rmi lam lta bu la// rmi lam,45
253,allo,gnyid,1
254,auto,kyi bsam gtan yin// chos rnams nyams su myang bar bya// 'byongs na lcebs kyang 'chi ba med// mtshon zug dug 'thung g.yul 'gyed pa// thams cad rang gi sems la sbyangs// ma 'byongs par du sbyang bar bya// ye nas 'khor 'das chos rnams kun// rmi lam yin par shes gyur na// rnal 'byor gti mug 'byongs pa yin// de phyir rmi lam gnyid du shes// sems can bde ba thun gcig na// kun gzhi'i nang du yid thim pa//,81
255,allo,chos,1
256,auto,kyi sku la gnas par bya// yid kyi rgyu ba mang,11
257,allo,po kun//,2
258,auto,gzugs,1
259,allo,kyi sku ru,3
260,auto,ldang bar 'gyur//,3
261,allo,gzugs,1
262,auto,su chos sgra dbyer med pa// ngo bo nyid skur rab tu gnas// skyes bu gnyid log sangs rgyas,19
263,allo,so// skyes,2
264,auto,bu gnyid log pas rmi,5
265,allo,lam,1
266,auto,gyi sangs,2
267,allo,rgyas,1
268,auto,ba,1
269,allo,zhes,1
270,auto,bya,1
271,allo,ba'i ting nge,3
272,auto,'dzin to//,2
273,allo,zhe sdang gzhi rgyu lam,5
274,auto,'bras can//,2
275,allo,skyon,1
276,auto,dang yon,2
277,allo,tan khyed la,3
278,auto,bshad// 'khor 'das chos rnams ma lus pa// ye nas 'od gsal ma bcos pa// sems nyid,17
279,allo,rang,1
280,auto,bzhin 'od gsal bas// zhe sdang nam mkha'i sprin ltar dengs// de nyid,13
281,allo,rnal,1
282,auto,'byor lha yin pas// lha 'di med,7
283,allo,na,1
284,auto,sangs rgyas med// zhe,4
285,allo,sdang med,2
286,auto,pa'i sngon,2
287,allo,rol na// sangs rgyas sems can ga la yod// yid kyi rnam,12
288,auto,shes kun khyab po// rang,5
289,allo,byung ye shes,3
290,auto,rgyu,1
291,allo,gcig pa// 'khor,3
292,auto,'das,1
293,allo,byed pa'i mkhan po khyod// rtsad bcad khungs ni khyod nyid yin// kun bzang khyod las thams cad byung// khyod kyis khyod nyid shes par gyis// 'gugs dang sbyangs dang sgo bkag nas// 'khor ba mya ngan 'das par sbyangs// dkon mchog gsum gyi spyi dgra dang// rdo rje slob dpon sku dgra dang// mched dang,56
294,auto,lcam dral sgos dgra dang// dam med dam log 'dus par yong// dam dgra ngan pa'i ngang tshul can// yongs la gnod dang ngan song chud// gsang ba'i dkyil 'khor chen por dgug/ brod bskyed sbyang bar bya ba'o// bsgral bar bya ba'i spyi mgrin snying// ste ba gsang ba rkang pa'i mthil// a nr-i su tri pre du dang// A+oM dang AHhU~M swA hA lam// 'od 'phros rigs drug gnas stongs nas// phyogs bcu dus gsum rgyal ba mnyes// ma dang mkha' 'gro'i thugs dam bskang// gsung dang thugs dang sku ru 'gyur// rigs lnga rgyal ba'i sku la thim//,101
295,allo,srid pa gsum gyis dpyas,5
296,auto,phyung nas// ngan,3
297,allo,song,1
298,auto,gsum,1
299,allo,gyi,1
300,auto,sgo yang bkag/ 'khor ba'i rgya mtsho skya ling btab// phung,11
301,allo,po,1
302,auto,mchod yul bsod nams tshogs// dam bskangs lha mnyes ye shes tshogs// chos sku dri ma med pa dang// gzugs sku longs spyad rdzogs sprul dang// zab dang rgya che'i sku gnyis so// thos 'gyur ngo mtshar rmad kyi chos// ma bskul log pa'i bstan par grags// sangs rgyas chos rnams nub 'gyur pas// sku gsum 'gro ba'i lam dang bral// 'khor ba'i gnas,64
303,allo,su,1
304,auto,zag par 'gyur// byang chub sems dpa'i spyod pa 'phel// ngan,11
305,allo,song,1
306,auto,gnas ngan len pa stongs//,5
307,allo,gsang sngags,2
308,auto,rmad byung che ba rdzogs// theg chen zab mo'i lta ba rtogs// rmad byung spyod pa khyad par 'phags// theg pa kun nas rab gsungs pa'i// mtshams med las ngan byed pa rnams// mnar med dmyal bar skye ba,39
309,allo,rnams//,1
310,auto,gsang sngags gsang ba'i theg pa,6
311,allo,la//,1
312,auto,rtsa,1
313,allo,ba,1
314,auto,yan,1
315,allo,lag nyams,2
316,auto,pa rnams// rdo rje dmyal bar skye 'gyur bas// las ngan rgyun,12
317,allo,lam bcad nas ni// las ngan,6
318,auto,ngan,1
319,allo,song gsum las,3
320,auto,sgrol//,1
321,allo,rang gis,2
322,auto,ma,1
323,allo,bsags tshogs gnyis rdzogs// sku gsum 'bras bur rdzogs 'gyur bas// khyed kyis zhe sdang can rnams sgrol// de'i phyir,20
324,auto,na,1
325,allo,rgyu rang grol gyi gsang sngags 'di gsungs so// nyung,10
326,auto,dkar lan tshwa byi brun bsres// sngags ni lan dgu bzlas la gdab/ pra du sad/ na ra sad/ tsit+ta na le sad/ du sha sad/ pre dur sad/ thibs mug sad/ bya la byed na spu na phaT/ ra lug la ni nyung dkar dang// byang ba dang ni chang phud do// dgra la byed na gzugs la'o// gnas ngan 'khor ba nas mya ngan 'das par sgrol ba zhes bya ba'i ting nge 'dzin to// nga rgyal gzhi rgyu las 'bras can// skyon dang yon tan nyid kyi rdzogs// mngon par mtho bas lta ba rtogs// nga rgyal chen,101
327,allo,po,1
328,auto,bdun,1
329,allo,dang ldan//,2
330,auto,rang,1
331,allo,nyid che bas rnam par bsgyings// pha,7
332,auto,rol zil,2
333,allo,gzhon,1
334,auto,ting,1
335,allo,'dzin gsal// sems nyid ye shes 'od gsal bas// ma rig mun pa la bsgrib tu med// chos rnams sems kyi cho,22
336,auto,'phrul,1
337,allo,pas// sems las log na bsgom du med//,8
338,auto,rab ni lta,3
339,allo,ba,1
340,auto,lam,1
341,allo,du khyer// 'bring dang tha mas bsgom,7
342,auto,par bya// gzung 'dzin gnyis su rang,7
343,allo,dag,1
344,auto,lta// rtag tu 'khor ba'i rgya mtsho zad// rang,9
345,allo,sems rtag par ther thug pas//,6
346,auto,phya yis de yi,4
347,allo,byed pa byas// las dang rgyu 'bras med par 'dod// chad par blta pas log pa'i,16
348,auto,lam// chos dang gang zag bdag 'dzin na// mos pa chung ba'i nyan thos yin// chos khams phyogs gcig bdag,20
349,allo,med na//,2
350,auto,dmigs pa phra ba'i rang sangs rgyas// 'khor 'das rang sems tsam du 'dod//,14
351,allo,kun,1
352,auto,rdzob don dam gnyis su 'byed// theg chen sems tsam dbu ma bas// theg chen rang gi gzhung rnams bsgrub// ye shes mu bzhi bral ba dang// snang ba sku la grag pa gsung// dran rtog thugs kyi lta ba ni// rigs gsum kun 'dus kri ya ba// mar bzhin spyod pa yar bzhin blta// rigs bzhi 'byin pa u pa ya// rnam par snang mdzad chen po la// sku gsum rdzogs pa yo ga ba// phung po khams dang skye mched rnams// thabs dang shes rab ma hA pa// rang sems yid gzugs chos la 'jug/ gnyis sbyar bde sras a nu ba// snang ba chos sku chen po la// bcos bslad bral ba a ti pa// bsam brjod mtha' bral ye shes 'khyil// dbyings dang ye shes 'du 'bras med// ji ltar snang ba bde chen sras// 'khor ba nyid ni mya ngan 'das// kun,147
353,allo,gzhi sems kyi me long nyid// ye nas zhi gnas chen por gnas// yid kyi dran rtog mang po rnams// lhag mthong chen por rang gsal bas// zhi gnas,29
354,auto,lhag,1
355,allo,mthong gnyis su,3
356,auto,med// ye,2
357,allo,shes bum nang,3
358,auto,mar,1
359,allo,me gsal// rnam rtog,4
360,auto,rlung,1
361,allo,gi sa gal bskyod//,4
362,auto,ma,1
363,allo,bcos,1
