Word_Index,Word,Prediction,Label_Name,Mode,Is_Switch,Confidence,Segment_ID,Paragraph,Model
23,gzhan,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
24,la,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
25,bstan,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
26,kyang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
27,go,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
28,bar,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
29,mi,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
30,‘gyur,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
31,ro,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
32,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
33,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
34,de’ang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
35,rnam,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
36,‘grel,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
37,las,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
38,|,0,Non-switch Auto,AUTO,NO,0.992,1,2,ALTO+PP
39,bdag,0,Non-switch Auto,AUTO,NO,0.980,1,2,ALTO+PP
40,la,0,Non-switch Auto,AUTO,NO,0.943,1,2,ALTO+PP
41,rtag,0,Non-switch Auto,AUTO,NO,0.975,1,2,ALTO+PP
42,tu,0,Non-switch Auto,AUTO,NO,0.922,1,2,ALTO+PP
43,‘brel,0,Non-switch Auto,AUTO,NO,0.993,1,2,ALTO+PP
44,yin,0,Non-switch Auto,AUTO,NO,0.936,1,2,ALTO+PP
45,na,0,Non-switch Auto,AUTO,NO,0.903,1,2,ALTO+PP
46,|,0,Non-switch Auto,AUTO,NO,0.989,1,2,ALTO+PP
47,|,0,Non-switch Auto,AUTO,NO,0.993,1,2,ALTO+PP
48,brjod,0,Non-switch Auto,AUTO,NO,0.993,1,2,ALTO+PP
49,kyang,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
50,rtogs,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
51,par,0,Non-switch Auto,AUTO,NO,0.990,1,2,ALTO+PP
52,mi,0,Non-switch Auto,AUTO,NO,0.993,1,2,ALTO+PP
53,‘gyur,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
54,ro,0,Non-switch Auto,AUTO,NO,0.982,1,2,ALTO+PP
55,|,0,Non-switch Auto,AUTO,NO,0.990,1,2,ALTO+PP
56,|,0,Non-switch Auto,AUTO,NO,0.990,1,2,ALTO+PP
57,zhes,0,Non-switch Auto,AUTO,NO,0.847,1,2,ALTO+PP
58,gsungs,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
59,pa,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
60,ltar,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
61,ro,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
62,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
63,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
64,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
65,rang,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
66,blo,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
67,dang,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
68,‘brel,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
69,pa’i,0,Non-switch Auto,AUTO,NO,0.992,1,2,ALTO+PP
70,phyir,0,Non-switch Auto,AUTO,NO,0.992,1,2,ALTO+PP
71,|,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
72,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
73,brjod,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
74,pas,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
75,de,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
76,nyid,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
77,rtogs,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
78,she,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
79,na,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
80,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
81,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
82,gang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
83,zag,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
84,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
85,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
86,gi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
87,blo,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
88,dang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
89,‘brel,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
90,pa’i,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
91,phyir,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
92,|,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
93,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
94,gi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
95,blo’i,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
96,yul,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
97,de,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
98,brjod,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
99,pas,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
100,rang,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
101,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
102,gi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
103,yul,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
104,de,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
105,go,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
106,ba,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
107,mi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
108,‘gal,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
109,lo,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
110,zhe,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
111,na,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
112,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
113,gang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
114,zag,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
115,gnyis,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
116,kyi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
117,brjod,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
118,bya’i,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
119,don,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
120,|,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
121,|,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
122,so,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
123,so,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
124,yin,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
125,phyir,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
126,sbyor,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
127,mi,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
128,nus,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
129,|,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
130,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
131,gang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
132,zag,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
133,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
134,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
135,gi,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
136,blo,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
137,dang,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
138,‘brel,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
139,ba,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
140,rkyang,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
141,pa,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
142,de,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
143,brjod,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
144,pas,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
145,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
146,rang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
147,gi,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
148,blo,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
149,dang,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
150,‘brel,0,Non-switch Auto,AUTO,NO,0.995,1,2,ALTO+PP
151,pa,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
152,de,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
153,go,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
154,ba’i,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
155,phyir,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
156,gnyis,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
157,ka’i,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
158,brjod,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
159,bya,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
160,thun,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
161,mong,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
162,ba,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
163,go,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
164,bar,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
165,mi,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
166,nus,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
167,te,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
168,gnyis,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
169,la,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
170,mtshams,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
171,sbyor,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
172,ba’i,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
173,thabs,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
174,med,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
175,pa’i,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
176,phyir,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
177,ro,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
178,|,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
179,|,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
180,de,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
181,yang,0,Non-switch Auto,AUTO,NO,0.998,1,2,ALTO+PP
182,rnam,0,Non-switch Auto,AUTO,NO,0.997,1,2,ALTO+PP
183,‘grel,0,Non-switch Auto,AUTO,NO,0.996,1,2,ALTO+PP
184,las,0,Non-switch Auto,AUTO,NO,0.994,1,2,ALTO+PP
185,|,0,Non-switch Auto,AUTO,NO,0.981,1,2,ALTO+PP
186,re,3,Switch→Allo,ALLO,YES,0.443,2,2,ALTO+PP
187,re,1,Non-switch Allo,ALLO,NO,0.834,2,2,ALTO+PP
188,dag,1,Non-switch Allo,ALLO,NO,0.952,2,2,ALTO+PP
189,dang,1,Non-switch Allo,ALLO,NO,0.970,2,2,ALTO+PP
190,‘brel,1,Non-switch Allo,ALLO,NO,0.681,2,2,ALTO+PP
191,na,1,Non-switch Allo,ALLO,NO,0.984,2,2,ALTO+PP
192,ni,1,Non-switch Allo,ALLO,NO,0.975,2,2,ALTO+PP
193,|,1,Non-switch Allo,ALLO,NO,0.963,2,2,ALTO+PP
194,|,1,Non-switch Allo,ALLO,NO,0.959,2,2,ALTO+PP
195,don,1,Non-switch Allo,ALLO,NO,0.986,2,2,ALTO+PP
196,gcig,1,Non-switch Allo,ALLO,NO,0.989,2,2,ALTO+PP
197,mngon,1,Non-switch Allo,ALLO,NO,0.991,2,2,ALTO+PP
198,zhen,1,Non-switch Allo,ALLO,NO,0.988,2,2,ALTO+PP
199,bdag,1,Non-switch Allo,ALLO,NO,0.985,2,2,ALTO+PP
200,nyid,1,Non-switch Allo,ALLO,NO,0.988,2,2,ALTO+PP
201,can,1,Non-switch Allo,ALLO,NO,0.981,2,2,ALTO+PP
202,|,1,Non-switch Allo,ALLO,NO,0.954,2,2,ALTO+PP
203,|,1,Non-switch Allo,ALLO,NO,0.916,2,2,ALTO+PP
204,‘chad,1,Non-switch Allo,ALLO,NO,0.917,2,2,ALTO+PP
205,po,1,Non-switch Allo,ALLO,NO,0.982,2,2,ALTO+PP
206,nyan,1,Non-switch Allo,ALLO,NO,0.982,2,2,ALTO+PP
207,po’i,1,Non-switch Allo,ALLO,NO,0.980,2,2,ALTO+PP
208,sems,1,Non-switch Allo,ALLO,NO,0.978,2,2,ALTO+PP
209,dag,1,Non-switch Allo,ALLO,NO,0.978,2,2,ALTO+PP
210,gi,1,Non-switch Allo,ALLO,NO,0.981,2,2,ALTO+PP
211,|,1,Non-switch Allo,ALLO,NO,0.868,2,2,ALTO+PP
212,mtshams,1,Non-switch Allo,ALLO,NO,0.976,2,2,ALTO+PP
213,sbyor,1,Non-switch Allo,ALLO,NO,0.979,2,2,ALTO+PP
214,bar,1,Non-switch Allo,ALLO,NO,0.979,2,2,ALTO+PP
215,ni,1,Non-switch Allo,ALLO,NO,0.972,2,2,ALTO+PP
216,mi,1,Non-switch Allo,ALLO,NO,0.974,2,2,ALTO+PP
217,‘gyur,1,Non-switch Allo,ALLO,NO,0.632,2,2,ALTO+PP
218,ro,1,Non-switch Allo,ALLO,NO,0.980,2,2,ALTO+PP
219,|,1,Non-switch Allo,ALLO,NO,0.539,2,2,ALTO+PP
220,|,0,Non-switch Auto,AUTO,NO,0.608,2,2,ALTO+PP
221,zhes,0,Non-switch Auto,AUTO,NO,0.683,2,2,ALTO+PP
222,gsungs,0,Non-switch Auto,AUTO,NO,0.993,2,2,ALTO+PP
223,pa,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
224,ltar,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
225,ro,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
226,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
227,|,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
228,gang,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
229,zag,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
230,so,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
231,so,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
232,la,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
233,yod,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
234,pa’i,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
235,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
236,|,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
237,sems,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
238,kyi,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
239,rnam,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
240,pa,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
241,gnyis,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
242,‘dra,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
243,bas,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
244,|,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
245,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
246,‘dra,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
247,la,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
248,gcig,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
249,tu,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
250,zhen,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
251,pa,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
252,la,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
253,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
254,|,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
255,tha,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
256,snyad,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
257,sbyor,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
258,phyir,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
259,mi,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
260,‘gal,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
261,na,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
262,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
263,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
264,‘chad,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
265,nyan,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
266,byed,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
267,pa’i,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
268,gang,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
269,zag,0,Non-switch Auto,AUTO,NO,0.998,2,2,ALTO+PP
270,gnyis,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
271,kyi,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
272,don,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
273,spyi,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
274,rang,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
275,rang,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
276,gi,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
277,blo,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
278,dang,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
279,‘brel,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
280,yang,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
281,lto,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
282,ldir,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
283,zhabs,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
284,zhum,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
285,pa,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
286,la,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
287,sogs,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
288,pa’i,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
289,rnam,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
290,pa,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
291,‘dra,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
292,bas,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
293,‘dra,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
294,ba,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
295,la,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
296,gcig,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
297,tu,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
298,zhen,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
299,nas,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
300,tha,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
301,snyad,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
302,‘dogs,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
303,pa,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
304,mi,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
305,‘gal,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
306,lo,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
307,zhe,0,Non-switch Auto,AUTO,NO,0.994,2,2,ALTO+PP
308,na,0,Non-switch Auto,AUTO,NO,0.994,2,2,ALTO+PP
309,|,0,Non-switch Auto,AUTO,NO,0.997,2,2,ALTO+PP
310,ma,0,Non-switch Auto,AUTO,NO,0.995,2,2,ALTO+PP
311,yin,0,Non-switch Auto,AUTO,NO,0.992,2,2,ALTO+PP
312,te,0,Non-switch Auto,AUTO,NO,0.993,2,2,ALTO+PP
313,|,0,Non-switch Auto,AUTO,NO,0.994,2,2,ALTO+PP
314,rang,0,Non-switch Auto,AUTO,NO,0.991,2,2,ALTO+PP
315,la,0,Non-switch Auto,AUTO,NO,0.985,2,2,ALTO+PP
316,shar,0,Non-switch Auto,AUTO,NO,0.988,2,2,ALTO+PP
317,na,0,Non-switch Auto,AUTO,NO,0.946,2,2,ALTO+PP
318,rang,0,Non-switch Auto,AUTO,NO,0.966,2,2,ALTO+PP
319,yul,0,Non-switch Auto,AUTO,NO,0.963,2,2,ALTO+PP
320,yin,0,Non-switch Auto,AUTO,NO,0.890,2,2,ALTO+PP
321,|,0,Non-switch Auto,AUTO,NO,0.971,2,2,ALTO+PP
322,|,0,Non-switch Auto,AUTO,NO,0.988,2,2,ALTO+PP
323,ma,0,Non-switch Auto,AUTO,NO,0.976,2,2,ALTO+PP
324,shar,0,Non-switch Auto,AUTO,NO,0.978,2,2,ALTO+PP
325,na,0,Non-switch Auto,AUTO,NO,0.943,2,2,ALTO+PP
326,ni,0,Non-switch Auto,AUTO,NO,0.896,2,2,ALTO+PP
327,de,0,Non-switch Auto,AUTO,NO,0.898,2,2,ALTO+PP
328,yul,0,Non-switch Auto,AUTO,NO,0.940,2,2,ALTO+PP
329,min,0,Non-switch Auto,AUTO,NO,0.927,2,2,ALTO+PP
330,|,0,Non-switch Auto,AUTO,NO,0.983,2,2,ALTO+PP
331,|,0,Non-switch Auto,AUTO,NO,0.990,2,2,ALTO+PP
332,des,0,Non-switch Auto,AUTO,NO,0.982,2,2,ALTO+PP
333,na,0,Non-switch Auto,AUTO,NO,0.981,2,2,ALTO+PP
334,tha,0,Non-switch Auto,AUTO,NO,0.987,2,2,ALTO+PP
335,dad,0,Non-switch Auto,AUTO,NO,0.983,2,2,ALTO+PP
336,gzung,0,Non-switch Auto,AUTO,NO,0.984,2,2,ALTO+PP
337,ba,0,Non-switch Auto,AUTO,NO,0.988,2,2,ALTO+PP
338,la,0,Non-switch Auto,AUTO,NO,0.990,2,2,ALTO+PP
339,|,0,Non-switch Auto,AUTO,NO,0.994,2,2,ALTO+PP
340,|,0,Non-switch Auto,AUTO,NO,0.996,2,2,ALTO+PP
341,gcig,0,Non-switch Auto,AUTO,NO,0.989,2,2,ALTO+PP
342,tu,0,Non-switch Auto,AUTO,NO,0.987,2,2,ALTO+PP
343,‘dzin,0,Non-switch Auto,AUTO,NO,0.994,2,2,ALTO+PP
344,pa,0,Non-switch Auto,AUTO,NO,0.990,2,2,ALTO+PP
